site,jday,month,month_name,season_name,species,microhabitat,ind,phenology,cycle_phase,leaf_type,leaf_code,leaf_state,obv_temp,rev_temp,cond_obv_temp,rad_obv_temp,wind_obv_temp,METCAT_TM,METCAT_TX,SENS_TM,SENS_TX,SENS_TM2H,length,width,chl,fresh_weight,dry_weight,water_content,leaf_dens
CJ,99,4,apr,spring,Alliaria petiolata,SC,CJ_SC_11,rep,rep,a,3,green,21,20.4,"NA_NA",NA,NA,13.7,23.5,NA,NA,NA,6,5,26.1,0.1216,0.0266,3.5714285714285716,4.433333333333333
CJ,99,4,apr,spring,Alliaria petiolata,SC,CJ_SC_12,rep,rep,b,1,green,20.4,20.5,"NA_NA",NA,NA,13.7,23.5,NA,NA,NA,8,3.5,31.7,0.1333,0.0196,5.801020408163265,2.4499999999999997
CJ,99,4,apr,spring,Alliaria petiolata,SC,CJ_SC_12,rep,rep,m,2,green,20.3,20.1,"NA_NA",NA,NA,13.7,23.5,NA,NA,NA,4,3.5,27.8666666666667,0.0997,0.0167,4.97005988023952,4.175
CJ,99,4,apr,spring,Alliaria petiolata,SC,CJ_SC_12,rep,rep,a,3,green,20.7,21.2,"NA_NA",NA,NA,13.7,23.5,NA,NA,NA,3,2.5,25.6,0.0372,0.0084,3.428571428571429,2.8000000000000003
CJ,113,4,apr,spring,Alliaria petiolata,SC,CJ_SC_13,rep,rep,b,1,green,19.7,19.5,"NA_NA",NA,NA,13.9,22.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CJ,113,4,apr,spring,Alliaria petiolata,SC,CJ_SC_13,rep,rep,m,2,green,19.8,19.7,"NA_NA",NA,NA,13.9,22.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CJ,113,4,apr,spring,Alliaria petiolata,SC,CJ_SC_13,rep,rep,a,3,green,20,19.2,"NA_NA",NA,NA,13.9,22.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CJ,113,4,apr,spring,Alliaria petiolata,SC,CJ_SC_14,rep,rep,b,1,green,20.1,19.9,"NA_NA",NA,NA,13.9,22.9,NA,NA,NA,11.5,8.5,28.9,NA,NA,NA,NA
CJ,113,4,apr,spring,Alliaria petiolata,SC,CJ_SC_14,rep,rep,m,2,green,19.9,19.8,"NA_NA",NA,NA,13.9,22.9,NA,NA,NA,11,8,30.0666666666667,NA,NA,NA,NA
CJ,113,4,apr,spring,Alliaria petiolata,SC,CJ_SC_14,rep,rep,a,3,green,20.4,20.3,"NA_NA",NA,NA,13.9,22.9,NA,NA,NA,9.5,6,27.1666666666667,NA,NA,NA,NA
CJ,113,4,apr,spring,Alliaria petiolata,SC,CJ_SC_15,rep,rep,b,1,green,19.3,19.4,"NA_NA",NA,NA,13.9,22.9,NA,NA,NA,15,14,29.6,2.4005,0.269,7.923791821561338,17.933333333333334
CJ,113,4,apr,spring,Alliaria petiolata,SC,CJ_SC_15,rep,rep,m,2,green,19.5,19.7,"NA_NA",NA,NA,13.9,22.9,NA,NA,NA,16,14,26.3333333333333,1.7591,0.2249,6.821698532681193,14.056249999999999
CJ,113,4,apr,spring,Alliaria petiolata,SC,CJ_SC_15,rep,rep,a,3,green,19.7,19.7,"NA_NA",NA,NA,13.9,22.9,NA,NA,NA,10,8,26.7,0.5575,0.0706,6.896600566572238,7.06
CJ,113,4,apr,spring,Alliaria petiolata,SC,CJ_SC_16,rep,rep,b,1,green,19.9,19.7,"NA_NA",NA,NA,13.9,22.9,NA,NA,NA,6,7,31.0333333333333,0.486,0.0661,6.352496217851739,11.016666666666667
CJ,113,4,apr,spring,Alliaria petiolata,SC,CJ_SC_16,rep,rep,m,2,green,21.4,21.2,"NA_NA",NA,NA,13.9,22.9,NA,NA,NA,11,8,27.5,0.639,0.0983,5.500508646998982,8.936363636363636
CJ,113,4,apr,spring,Alliaria petiolata,SC,CJ_SC_16,rep,rep,a,3,green,20.7,20.6,"NA_NA",NA,NA,13.9,22.9,NA,NA,NA,10,5,28.3333333333333,0.293,0.0484,5.053719008264463,4.84
CJ,127,5,may,spring,Alliaria petiolata,SC,CJ_SC_17,rep,rep,b,1,green,19.3,19.5,"NA_NA",NA,NA,14.4,21.4,NA,NA,NA,16.5,11,33,NA,NA,NA,NA
CJ,127,5,may,spring,Alliaria petiolata,SC,CJ_SC_17,rep,rep,m,2,green,20.2,20.2,"NA_NA",NA,NA,14.4,21.4,NA,NA,NA,10,5,32.9,NA,NA,NA,NA
CJ,127,5,may,spring,Alliaria petiolata,SC,CJ_SC_17,rep,rep,a,3,green,20,19.9,"NA_NA",NA,NA,14.4,21.4,NA,NA,NA,9,6,29.1666666666667,NA,NA,NA,NA
CJ,127,5,may,spring,Alliaria petiolata,SC,CJ_SC_18,rep,rep,b,1,green,21.4,21.4,"NA_NA",NA,NA,14.4,21.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CJ,127,5,may,spring,Alliaria petiolata,SC,CJ_SC_18,rep,rep,m,2,green,21.1,21,"NA_NA",NA,NA,14.4,21.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CJ,127,5,may,spring,Alliaria petiolata,SC,CJ_SC_18,rep,rep,a,3,green,20.8,20.8,"NA_NA",NA,NA,14.4,21.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CJ,127,5,may,spring,Alliaria petiolata,SC,CJ_SC_19,rep,rep,b,1,green,19.2,19.1,"NA_NA",NA,NA,14.4,21.4,NA,NA,NA,7.1,6.5,27.6666666666667,0.3213,0.0397,7.093198992443324,5.591549295774648
CJ,127,5,may,spring,Alliaria petiolata,SC,CJ_SC_19,rep,rep,m,2,green,19.1,19.1,"NA_NA",NA,NA,14.4,21.4,NA,NA,NA,8,6.5,26.1,0.3643,0.0512,6.115234374999999,6.4
CJ,127,5,may,spring,Alliaria petiolata,SC,CJ_SC_19,rep,rep,a,3,green,18.8,18.9,"NA_NA",NA,NA,14.4,21.4,NA,NA,NA,6,3.5,26.4333333333333,0.1368,0.0175,6.817142857142857,2.9166666666666665
CJ,127,5,may,spring,Alliaria petiolata,SC,CJ_SC_20,rep,rep,b,1,green,21.4,21.5,"NA_NA",NA,NA,14.4,21.4,NA,NA,NA,6.5,4.4,28.3666666666667,0.212,0.0262,7.091603053435114,4.0307692307692315
CJ,127,5,may,spring,Alliaria petiolata,SC,CJ_SC_20,rep,rep,m,2,green,21.6,21.5,"NA_NA",NA,NA,14.4,21.4,NA,NA,NA,6,5,28.8,0.1681,0.023,6.308695652173913,3.8333333333333335
CJ,127,5,may,spring,Alliaria petiolata,SC,CJ_SC_20,rep,rep,a,3,green,20.9,20.8,"NA_NA",NA,NA,14.4,21.4,NA,NA,NA,5,4.5,28.6,0.1092,0.0158,5.9113924050632916,3.16
CJ,141,5,may,spring,Alliaria petiolata,SC,CJ_SC_21,rep,rep,b,1,green,21,20.7,"NA_NA",NA,NA,16.5,24.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CJ,141,5,may,spring,Alliaria petiolata,SC,CJ_SC_21,rep,rep,m,2,green,20.7,20.5,"NA_NA",NA,NA,16.5,24.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CJ,141,5,may,spring,Alliaria petiolata,SC,CJ_SC_21,rep,rep,a,3,green,20.9,20.9,"NA_NA",NA,NA,16.5,24.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CJ,141,5,may,spring,Alliaria petiolata,SC,CJ_SC_22,rep,rep,b,1,green,20.7,20.7,"NA_NA",NA,NA,16.5,24.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CJ,141,5,may,spring,Alliaria petiolata,SC,CJ_SC_22,rep,rep,m,2,green,20.8,20.7,"NA_NA",NA,NA,16.5,24.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CJ,141,5,may,spring,Alliaria petiolata,SC,CJ_SC_22,rep,rep,a,3,green,20.7,20.6,"NA_NA",NA,NA,16.5,24.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CJ,141,5,may,spring,Alliaria petiolata,SC,CJ_SC_23,rep,rep,b,1,green,22.2,22.3,"NA_NA",NA,NA,16.5,24.8,NA,NA,NA,7.5,6,27.6666666666667,0.2561,0.032,7.003125,4.266666666666667
CJ,141,5,may,spring,Alliaria petiolata,SC,CJ_SC_23,rep,rep,m,2,green,21.9,22,"NA_NA",NA,NA,16.5,24.8,NA,NA,NA,7,5.5,27.5333333333333,0.22,0.0308,6.142857142857143,4.4
CJ,141,5,may,spring,Alliaria petiolata,SC,CJ_SC_23,rep,rep,a,3,green,21.7,21.9,"NA_NA",NA,NA,16.5,24.8,NA,NA,NA,5,3.5,28.7,0.0919,0.0147,5.2517006802721085,2.94
CJ,141,5,may,spring,Alliaria petiolata,SC,CJ_SC_24,rep,rep,b,1,green,21.6,21.2,"NA_NA",NA,NA,16.5,24.8,NA,NA,NA,10.5,8,30.9666666666667,0.5289,0.077,5.86883116883117,7.333333333333333
CJ,141,5,may,spring,Alliaria petiolata,SC,CJ_SC_24,rep,rep,m,2,green,21.3,21.2,"NA_NA",NA,NA,16.5,24.8,NA,NA,NA,10,7,31.9333333333333,0.3802,0.0571,5.658493870402802,5.71
CJ,141,5,may,spring,Alliaria petiolata,SC,CJ_SC_24,rep,rep,a,3,green,21.6,21.8,"NA_NA",NA,NA,16.5,24.8,NA,NA,NA,6.5,3,28.1,0.117,0.0163,6.177914110429449,2.507692307692307
CJ,162,6,jun,summer,Alliaria petiolata,SC,CJ_SC_25,rep,rep,b,1,green,26.2,26.2,"NA_NA",NA,NA,24.4,32.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CJ,162,6,jun,summer,Alliaria petiolata,SC,CJ_SC_25,rep,rep,m,2,green,26.1,25.9,"NA_NA",NA,NA,24.4,32.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CJ,162,6,jun,summer,Alliaria petiolata,SC,CJ_SC_25,rep,rep,a,3,green,26.5,26.6,"NA_NA",NA,NA,24.4,32.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CJ,162,6,jun,summer,Alliaria petiolata,SC,CJ_SC_26,rep,rep,b,1,green,27,26.5,"NA_NA",NA,NA,24.4,32.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CJ,162,6,jun,summer,Alliaria petiolata,SC,CJ_SC_26,rep,rep,m,2,green,26.2,26.1,"NA_NA",NA,NA,24.4,32.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CJ,162,6,jun,summer,Alliaria petiolata,SC,CJ_SC_26,rep,rep,a,3,green,26,26,"NA_NA",NA,NA,24.4,32.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CJ,162,6,jun,summer,Alliaria petiolata,SC,CJ_SC_27,rep,rep,b,1,presenescent,27.1,27,"NA_NA",NA,NA,24.4,32.6,NA,NA,NA,9.5,6.5,26.6333333333333,0.312,0.0413,6.554479418886198,4.347368421052632
CJ,162,6,jun,summer,Alliaria petiolata,SC,CJ_SC_27,rep,rep,m,2,presenescent,28.7,28.5,"NA_NA",NA,NA,24.4,32.6,NA,NA,NA,8.5,5.5,26.2,0.234,0.0308,6.597402597402598,3.623529411764706
CJ,162,6,jun,summer,Alliaria petiolata,SC,CJ_SC_27,rep,rep,a,3,presenescent,28.5,28.6,"NA_NA",NA,NA,24.4,32.6,NA,NA,NA,7.5,5,24.9333333333333,0.154,0.023,5.695652173913044,3.066666666666667
CJ,162,6,jun,summer,Alliaria petiolata,SC,CJ_SC_28,rep,rep,b,1,presenescent,28.7,28.6,"NA_NA",NA,NA,24.4,32.6,NA,NA,NA,7,7,21.5,0.401,0.0526,6.6235741444866925,7.514285714285714
CJ,162,6,jun,summer,Alliaria petiolata,SC,CJ_SC_28,rep,rep,m,2,presenescent,28.2,28.2,"NA_NA",NA,NA,24.4,32.6,NA,NA,NA,8,6,23.6666666666667,0.281,0.039,6.205128205128205,4.875
CJ,162,6,jun,summer,Alliaria petiolata,SC,CJ_SC_28,rep,rep,a,3,presenescent,28.7,28.8,"NA_NA",NA,NA,24.4,32.6,NA,NA,NA,7,5,26,0.146,0.0218,5.697247706422018,3.1142857142857143
CJ,167,6,jun,summer,Alliaria petiolata,SC,CJ_SC_31,sen,rep,m,1,presenescent,NA,NA,NA,NA,NA,25.8,33.8,NA,NA,NA,12,9,12.6,0.525,0.0739,6.104194857916104,6.158333333333332
CJ,167,6,jun,summer,Alliaria petiolata,SC,CJ_SC_31,sen,rep,m,2,presenescent,NA,NA,NA,NA,NA,25.8,33.8,NA,NA,NA,10,8,13.0666666666667,0.384,0.0522,6.356321839080459,5.220000000000001
CJ,167,6,jun,summer,Alliaria petiolata,SC,CJ_SC_31,sen,rep,a,3,presenescent,NA,NA,NA,NA,NA,25.8,33.8,NA,NA,NA,8,4,5.26666666666667,0.1245,0.0309,3.029126213592233,3.8625000000000003
CJ,167,6,jun,summer,Alliaria petiolata,SC,CJ_SC_32,sum_ros,ros,b,1,green,NA,NA,NA,NA,NA,25.8,33.8,NA,NA,NA,3,5.5,27.5333333333333,0.158,0.0253,5.24505928853755,8.433333333333334
CJ,167,6,jun,summer,Alliaria petiolata,SC,CJ_SC_32,sum_ros,ros,b,2,green,NA,NA,NA,NA,NA,25.8,33.8,NA,NA,NA,2.5,3.5,25.2666666666667,0.108,0.018,5,7.2
CJ,167,6,jun,summer,Alliaria petiolata,SC,CJ_SC_32,sum_ros,ros,b,3,presenescent,NA,NA,NA,NA,NA,25.8,33.8,NA,NA,NA,3,3.5,9.76666666666667,0.067,0.0099,5.767676767676767,3.3000000000000003
CJ,176,6,jun,summer,Alliaria petiolata,SC,CJ_SC_35,sen,rep,b,1,presenescent,NA,NA,NA,NA,NA,23.6,30.9,NA,NA,NA,8.5,5.5,9.96666666666667,0.067,0.0528,0.26893939393939403,6.211764705882352
CJ,176,6,jun,summer,Alliaria petiolata,SC,CJ_SC_35,sen,rep,m,2,presenescent,NA,NA,NA,NA,NA,23.6,30.9,NA,NA,NA,8,4.5,7.36666666666667,0.053,0.0432,0.22685185185185175,5.4
CJ,176,6,jun,summer,Alliaria petiolata,SC,CJ_SC_35,sen,rep,a,3,presenescent,NA,NA,NA,NA,NA,23.6,30.9,NA,NA,NA,6.5,5,10.5,0.048,0.0392,0.2244897959183674,6.03076923076923
CJ,176,6,jun,summer,Alliaria petiolata,SC,CJ_SC_36,sen,rep,b,1,senescent,NA,NA,NA,NA,NA,23.6,30.9,NA,NA,NA,11.5,7,7.43333333333333,0.095,0.081,0.1728395061728395,7.043478260869565
CJ,176,6,jun,summer,Alliaria petiolata,SC,CJ_SC_36,sen,rep,m,2,senescent,NA,NA,NA,NA,NA,23.6,30.9,NA,NA,NA,11.5,6,8.1,0.114,0.093,0.22580645161290328,8.08695652173913
CJ,176,6,jun,summer,Alliaria petiolata,SC,CJ_SC_36,sen,rep,a,3,senescent,NA,NA,NA,NA,NA,23.6,30.9,NA,NA,NA,8,7,5.96666666666667,0.078,0.0624,0.25000000000000006,7.8
CJ,176,6,jun,summer,Alliaria petiolata,SC,CJ_SC_37,sum_ros,ros,b,1,green,NA,NA,NA,NA,NA,23.6,30.9,NA,NA,NA,7.5,7,26.2,0.527,0.0959,4.495307612095933,12.786666666666667
CJ,176,6,jun,summer,Alliaria petiolata,SC,CJ_SC_37,sum_ros,ros,b,2,green,NA,NA,NA,NA,NA,23.6,30.9,NA,NA,NA,7,6.5,19.5666666666667,0.375,0.0506,6.41106719367589,7.228571428571429
CJ,187,7,jul,summer,Alliaria petiolata,SC,CJ_SC_39,sen,rep,b,1,senescent,28.6666666666667,28.4333333333333,NR_NW,NR,NW,23.9,34.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CJ,187,7,jul,summer,Alliaria petiolata,SC,CJ_SC_39,sen,rep,m,2,senescent,29.5,28.7,NR_NW,NR,NW,23.9,34.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CJ,187,7,jul,summer,Alliaria petiolata,SC,CJ_SC_39,sen,rep,a,3,senescent,29,29.1,NR_NW,NR,NW,23.9,34.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CJ,187,7,jul,summer,Alliaria petiolata,SC,CJ_SC_40,sen,rep,b,1,senescent,29.9,30.1333333333333,"NA_NA",NA,NA,23.9,34.7,NA,NA,NA,11,10,19.3333333333333,0.822,0.1633,4.033680342927128,14.845454545454546
CJ,187,7,jul,summer,Alliaria petiolata,SC,CJ_SC_40,sen,rep,m,2,senescent,30.2333333333333,30,"NA_NA",NA,NA,23.9,34.7,NA,NA,NA,6,5,11,0.1495,0.0298,4.016778523489933,4.966666666666667
CJ,187,7,jul,summer,Alliaria petiolata,SC,CJ_SC_40,sen,rep,a,3,senescent,30,30.6666666666667,"NA_NA",NA,NA,23.9,34.7,NA,NA,NA,4,5,16.7333333333333,0.087,0.0158,4.506329113924049,3.95
CJ,187,7,jul,summer,Alliaria petiolata,SC,CJ_SC_41,sum_ros,ros,b,1,green,30,29.9,"NA_NA",NA,NA,23.9,34.7,NA,NA,NA,2,4,27.4666666666667,0.124,0.0251,3.9402390438247012,12.55
CJ,187,7,jul,summer,Alliaria petiolata,SC,CJ_SC_41,sum_ros,ros,b,2,green,29.0333333333333,29.8,"NA_NA",NA,NA,23.9,34.7,NA,NA,NA,1.5,3.5,19.2,0.098,0.0197,3.9746192893401022,13.133333333333333
CJ,187,7,jul,summer,Alliaria petiolata,SC,CJ_SC_41,sum_ros,ros,b,3,green,28.6333333333333,28.6,"NA_NA",NA,NA,23.9,34.7,NA,NA,NA,1,1.5,25.7333333333333,NA,NA,NA,NA
CJ,206,7,jul,summer,Alliaria petiolata,SC,CJ_SC_44,sum_ros,ros,b,1,green,NA,NA,NA,NA,NA,20.1,26.5,NA,NA,NA,2,2.5,18,0.0465,0.007,5.642857142857143,3.5
CJ,206,7,jul,summer,Alliaria petiolata,SC,CJ_SC_44,sum_ros,ros,b,2,green,NA,NA,NA,NA,NA,20.1,26.5,NA,NA,NA,3,4.5,25.3333333333333,0.1775,0.032,4.546875,10.666666666666666
CJ,206,7,jul,summer,Alliaria petiolata,SC,CJ_SC_45,sum_ros,ros,b,1,green,NA,NA,NA,NA,NA,20.1,26.5,NA,NA,NA,2,2.5,22.5333333333333,0.047,0.008,4.875,4
CJ,206,7,jul,summer,Alliaria petiolata,SC,CJ_SC_45,sum_ros,ros,b,2,green,NA,NA,NA,NA,NA,20.1,26.5,NA,NA,NA,2,3,24.2,0.0945,0.017,4.5588235294117645,8.5
CJ,206,7,jul,summer,Alliaria petiolata,SC,CJ_SC_45,sum_ros,ros,b,3,senescent,NA,NA,NA,NA,NA,20.1,26.5,NA,NA,NA,NA,NA,NA,0.1965,0.123,0.5975609756097562,NA
CJ,206,7,jul,summer,Alliaria petiolata,SC,CJ_SC_45,sum_ros,ros,b,4,senescent,NA,NA,NA,NA,NA,20.1,26.5,NA,NA,NA,NA,NA,NA,0.1575,0.123,0.2804878048780488,NA
CJ,206,7,jul,summer,Alliaria petiolata,SC,CJ_SC_45,sum_ros,ros,b,5,senescent,NA,NA,NA,NA,NA,20.1,26.5,NA,NA,NA,NA,NA,NA,0.1795,0.136,0.31985294117647045,NA
CJ,225,8,aug,summer,Alliaria petiolata,SC,CJ_SC_46,sum_ros,ros,b,1,green,23.5,23.3,R_NW,R,NW,21.5,29.6,NA,NA,NA,12.9,5.6,28.2,NA,NA,NA,NA
CJ,225,8,aug,summer,Alliaria petiolata,SC,CJ_SC_47,sum_ros,ros,b,1,green,24.1,24,R_NW,R,NW,21.5,29.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CJ,225,8,aug,summer,Alliaria petiolata,SC,CJ_SC_47,sum_ros,ros,b,2,green,24.1,24.2,R_NW,R,NW,21.5,29.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CJ,225,8,aug,summer,Alliaria petiolata,SC,CJ_SC_48,sum_ros,ros,b,1,green,24.5,24.2,R_NW,R,NW,21.5,29.6,NA,NA,NA,9.4,8,30.6666666666667,0.182,0.0365,3.9863013698630136,3.882978723404255
CJ,225,8,aug,summer,Alliaria petiolata,SC,CJ_SC_49,sum_ros,ros,b,1,green,23.7,23.8,NR_NW,NR,NW,21.5,29.6,NA,NA,NA,8.5,2.5,22.3666666666667,0.082,0.0142,4.774647887323943,1.6705882352941177
CJ,225,8,aug,summer,Alliaria petiolata,SC,CJ_SC_49,sum_ros,ros,b,2,green,23.8,23.8,NR_NW,NR,NW,21.5,29.6,NA,NA,NA,7.5,3.5,26.7666666666667,0.112,0.02,4.6,2.6666666666666665
CJ,241,8,aug,summer,Alliaria petiolata,SC,CJ_SC_50,sum_ros,ros,b,1,green,29.7,29.8,"NA_NA",NA,NA,25,33.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CJ,241,8,aug,summer,Alliaria petiolata,SC,CJ_SC_50,sum_ros,ros,b,2,green,29.6,29.9333333333333,"NA_NA",NA,NA,25,33.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CJ,241,8,aug,summer,Alliaria petiolata,SC,CJ_SC_51,sum_ros,ros,b,1,presenescent,28.7,28.9,"NA_NA",NA,NA,25,33.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CJ,241,8,aug,summer,Alliaria petiolata,SC,CJ_SC_51,sum_ros,ros,b,2,green,28.7,28.8,"NA_NA",NA,NA,25,33.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
